#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-104.60105,83,340.444482
-105.299172,52,340.539365
-104.522893,51,340.632711
-102.795742,38,340.708021
-103.546236,53,340.804204
-101.388344,50,340.898773
-101.653831,65,341.015165
-34.117008,1600,343.749914
-101.797092,86,343.905871
-114.590282,452,344.673326
-104.266064,66,344.79354
-103.864531,81,344.938428
-113.116282,1190,346.988081
-103.824688,86,347.145361
-129.954672,1600,349.981322
-120.109093,1600,352.724639
-117.035812,1600,365.7132
-105.249151,41,365.789204
-101.401992,1600,368.537548
-94.926703,1600,371.302745
-92.859442,1600,374.054142
-85.491728,1600,376.793307
-128.592958,532,377.699182
-158.190307,1384,380.067634
-103.665586,67,380.186058
-102.084095,84,380.338274
-105.436415,435,381.083621
-99.677302,1600,384.193657
-98.761038,335,384.746777
-59.094763,1600,387.373166
-100.771366,196,387.696425
-143.428253,946,389.242344
-103.771301,149,389.500072
-102.050741,83,389.653613
-91.636382,136,389.888487
-102.715283,45,389.972028
-35.465775,1600,392.704602
-104.564777,63,392.820835
-74.632009,1600,395.549263
-19.53928,1600,398.278752
-104.388147,53,398.376411
-102.716522,64,398.492813
-101.134028,54,398.595131
-101.552184,52,398.690144
-103.613225,57,398.79737
-101.482431,62,407.029362
-148.574423,1298,409.162745
-98.902445,65,409.281254
-101.187191,64,409.397763
-99.924157,51,409.491272
-102.441021,39,409.571781
-101.408577,63,409.684292
-103.193424,48,409.7768
-102.215527,43,409.855309
-103.584537,49,409.945817
-101.601168,51,410.040705
-102.003188,46,410.130214
-102.182343,51,410.22372
-103.099579,62,410.333232
-102.368361,51,410.428742
-100.558089,53,410.534307
-102.378632,61,410.645323
-102.150582,58,410.754832
-117.184235,110,410.944849
-103.261556,42,411.02385
-104.540466,60,411.133361
-101.165544,49,411.225867
-101.912445,66,411.343884
-103.384143,34,411.418604
-102.699029,46,411.502111
-103.827006,57,411.608621
-100.619144,60,411.719131
-101.532043,49,411.808639
-104.628768,44,411.893147
-103.18407,51,411.987656
-103.870608,50,412.081165
-101.521855,57,412.188673
-101.032873,53,412.284183
-102.87447,36,412.364692
-102.839709,57,412.475201
-102.293203,42,412.555709
-103.481491,48,412.64699
-102.64824,36,412.71599
-102.655744,48,412.808498
-102.088406,45,412.894007
-102.195584,51,412.987517
-106.522022,113,413.187534
-87.881069,1600,415.940155
-97.172782,1600,418.683517
-53.42214,1600,421.432786
-105.777496,76,421.571952
-65.530573,1600,424.320812
-140.037874,1600,436.146499
-58.495355,1600,438.902617
-0.725966,1600,441.657088
-71.557577,1600,444.449047
-73.736104,1600,447.201378
24.325238,1600,449.902989
-98.925038,238,450.306031
-24.78683,1600,453.366442
-93.995958,412,454.073226
-107.239141,170,454.36725
-114.383238,94,454.538266
-105.071057,152,454.802793
-107.883403,45,454.887807
-102.575557,268,455.351845
-109.312407,48,455.438355
-108.266413,71,455.565867
-100.92453,154,455.835391
-108.375972,65,455.952902
-103.299114,585,456.946718
-106.780915,40,457.024227
-107.894222,50,457.123735
-106.60327,41,457.201245
-106.740007,43,457.284753
-106.61301,51,457.379262
-72.093479,495,458.234498
-105.567587,121,458.446265
-107.620867,61,458.559877
-102.434878,221,458.94138
-105.668615,40,459.018328
-107.991454,43,459.09623
-111.15607,356,459.711965
-108.639202,37,459.78284
-111.963435,46,459.869778
-110.123851,56,459.973779
-91.57542,358,460.586513
-106.721116,44,460.670706
-120.614911,143,460.914535
-109.537783,52,461.012564
-106.330838,46,461.097323
-106.161761,44,461.182658
-108.010309,54,461.281593
-105.145353,46,461.367359
-104.573643,42,461.4461
-108.156581,43,461.535379
-106.676275,42,461.610381
-106.214034,53,461.711551
-106.641147,49,461.804716
-107.431271,66,461.923881
-103.364629,54,462.024563
-108.705063,50,462.118635
-113.194795,77,462.253391
-108.924504,94,462.425283
-103.081583,74,462.559947
-104.155169,91,462.721919
-110.361351,54,462.821543
-106.939866,104,462.998487
-103.31445,55,463.100648
-103.036819,54,463.201187
-104.070822,44,463.286787
-102.530989,59,463.40011
-103.369442,60,463.509822
-104.28972,43,463.589909
-112.920194,87,463.747089
-103.463251,60,463.857163
-102.444381,47,463.943606
-103.083331,107,464.13273
-101.225914,137,464.373388
-111.387156,58,464.479788
-104.698328,50,464.574474
-99.788459,88,464.727927
-104.068621,41,464.805592
-103.201684,59,464.915664
-105.184596,56,465.018087
-100.648652,76,465.163236
-103.149151,62,465.274637
-95.356364,154,465.538581
-102.303847,57,465.641397
-100.150681,79,465.783894
-103.333072,60,465.895697
-101.798742,136,466.135724
-128.154949,350,466.728327
-102.866067,55,466.832116
-102.352097,55,466.949506
-102.857693,59,467.058516
-103.258578,50,467.15073
-103.002202,54,467.252442
-103.814921,51,467.347664
-110.716066,44,467.432175
-109.560927,93,467.593065
-101.123154,263,468.049103
-110.1146,53,468.147613
-108.202312,367,469.822222
-97.513868,288,470.315629
-106.270441,1133,472.235196
-103.123466,47,472.331017
-109.653268,67,472.449498
-117.836084,315,472.97806
-103.39763,54,473.078568
-105.013275,57,473.186583
-103.647337,56,473.28909
-102.320637,147,473.544108
-101.599827,50,473.638617
-103.578079,47,473.725127
-111.577232,75,473.862655
-102.579937,52,473.962163
-102.817894,50,474.054673
-102.393836,46,474.147555
-102.932184,35,474.218063
-102.973284,48,474.306572
-101.527617,91,474.471084
-104.142691,45,474.557589
-104.852511,46,474.643098
-105.054882,45,474.728606
-105.299708,48,474.816116
-105.392211,43,474.901625
-109.856227,78,475.048134
-104.095107,39,475.120643
-102.019712,60,475.231152
-104.885222,55,475.332662
