#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-52.070528,1600,13115.352347
-59.766772,1600,13135.628002
-48.041866,1600,13156.113808
-31.17885,1600,13182.310233
-26.177808,1600,13202.176727
-33.631429,1600,13221.849171
-28.32759,1600,13241.910499
-32.139703,1600,13262.025451
-40.125612,1600,13282.245848
-33.345306,1600,13309.003265
-22.344833,1600,13329.197509
-24.086334,1600,13348.84664
-32.383306,1600,13368.184778
-28.840855,1600,13387.461892
-36.465174,1600,13408.061184
-49.394033,1600,13434.469101
-31.155905,1600,13454.519049
-29.770968,1600,13474.031463
-31.821151,1600,13494.181213
-26.075958,1600,13514.398667
-27.548353,1600,13534.964185
-24.484999,1600,13562.130681
-39.989416,1600,13582.854939
-128.595634,50,13583.504708
-41.811555,1600,13603.522992
-126.118775,52,13604.054668
-30.499862,1600,13624.328295
-32.771881,1600,13644.552968
-41.976209,1600,13664.973273
-50.562186,1600,13684.98372
-48.817844,1600,13711.568747
-38.842703,1600,13731.375766
-35.774448,1600,13751.42741
-28.688263,1600,13770.844111
-144.950353,985,13783.247735
-36.808467,1600,13803.349211
